source,driving,source_idx,driving_idx
id10283#x6M3KQ8-gM4#006291#006800.mp4,id10285#bd0jqkNxNdU#001584#002127.mp4,488,417
id10283#vaK4t1-WD4M#015176#015467.mp4,id10291#TMCTm7GxiDE#002595#002901.mp4,214,64
id10283#vaK4t1-WD4M#015527#016270.mp4,id10280#XiKRlssBw2M#001538#002000.mp4,765,103
id10289#8l5ZnDf-FUA#005635#005731.mp4,id10291#aQ6uxeakacs#000855#001332.mp4,62,261
id10289#3g9CjhcNEWk#001295#001783.mp4,id10280#XiKRlssBw2M#002006#002397.mp4,248,8
id10285#FUqAFZmZJ80#008458#008688.mp4,id10286#FP4TghS5_UQ#003694#004036.mp4,84,156
id10286#9K2YB1d8BqY#001493#001925.mp4,id10290#gTbcgoYXWdU#000698#001023.mp4,464,21
id10292#ENIHEvg_VLM#001535#001649.mp4,id10283#r9-0pljhZqs#010121#010605.mp4,72,520
id10290#cIi74VD0LF0#001108#001207.mp4,id10292#57KbI2UvGss#019801#020010.mp4,82,13
id10292#57KbI2UvGss#013030#013309.mp4,id10290#cIi74VD0LF0#000811#001065.mp4,93,199
id10283#r9-0pljhZqs#011158#011299.mp4,id10287#MHoaMi5hKkE#000653#000756.mp4,66,99
id10283#vaK4t1-WD4M#007577#007910.mp4,id10291#uiBjIKX_0l8#001197#001806.mp4,129,516
id10283#r9-0pljhZqs#007920#008172.mp4,id10290#gTbcgoYXWdU#000698#001023.mp4,9,112
id10289#8l5ZnDf-FUA#003737#003869.mp4,id10286#DPPq8w5ILrA#002140#002667.mp4,99,372
id10283#p3q7Z0O6rgg#000694#001626.mp4,id10289#3g9CjhcNEWk#002484#002710.mp4,408,208
id10283#vaK4t1-WD4M#009812#010091.mp4,id10280#XiKRlssBw2M#000330#001148.mp4,78,105
id10285#bd0jqkNxNdU#002765#003008.mp4,id10292#ENIHEvg_VLM#013118#013201.mp4,122,67
id10286#ZAK9gLYNqPs#000981#001170.mp4,id10285#FUqAFZmZJ80#001714#001832.mp4,121,101
id10291#TMCTm7GxiDE#002595#002901.mp4,id10280#XiKRlssBw2M#000330#001148.mp4,58,400
id10285#FUqAFZmZJ80#002282#002395.mp4,id10290#gTbcgoYXWdU#004460#004582.mp4,72,31
id10285#m-uILToQ9ss#004020#004263.mp4,id10281#ni6gO5jDLJE#003515#003915.mp4,111,191
id10286#isKyMAYUOgg#011210#011721.mp4,id10285#FUqAFZmZJ80#008458#008688.mp4,476,50
id10291#kt4P4cyTpWQ#005276#005437.mp4,id10283#p5g1heXp34o#005644#005893.mp4,65,30
id10283#vaK4t1-WD4M#004014#004148.mp4,id10289#8l5ZnDf-FUA#003737#003869.mp4,29,52
id10285#FUqAFZmZJ80#014249#014381.mp4,id10286#mYc2BIS0zWU#002318#002453.mp4,41,84
id10283#oGZsanLiXsY#004515#005047.mp4,id10289#8l5ZnDf-FUA#005635#005731.mp4,104,30
id10282#Zbz058o9j6s#003175#003420.mp4,id10287#MHoaMi5hKkE#001008#001291.mp4,21,82
id10291#iPZGPcrYIZs#001845#001954.mp4,id10284#EoCPhxtWUOc#002260#002691.mp4,68,250
id10282#IDA_ElNHLn4#000674#000852.mp4,id10291#4aLg_keiGHw#001702#001895.mp4,94,174
id10283#p5g1heXp34o#004220#004509.mp4,id10284#Uzxv7Axh3Z8#019680#019858.mp4,54,138
id10291#4aLg_keiGHw#001497#001678.mp4,id10284#Uzxv7Axh3Z8#019680#019858.mp4,110,134
id10291#iPZGPcrYIZs#000192#000338.mp4,id10281#ni6gO5jDLJE#004685#004875.mp4,119,2
id10285#bd0jqkNxNdU#002127#002316.mp4,id10292#57KbI2UvGss#005552#005758.mp4,62,81
id10283#uA1E_38TuTw#002875#002990.mp4,id10292#57KbI2UvGss#016375#016489.mp4,112,5
id10283#u3s9xdUlmmk#002705#003304.mp4,id10292#ENIHEvg_VLM#009808#009917.mp4,475,76
id10286#9K2YB1d8BqY#000284#000429.mp4,id10285#bd0jqkNxNdU#001584#002127.mp4,54,333
id10283#p5g1heXp34o#005026#005627.mp4,id10290#cIi74VD0LF0#004590#004880.mp4,264,232
id10283#N69Hp2DGMLk#006600#007118.mp4,id10284#YN4cTBWM-QE#020799#021121.mp4,569,151
id10283#h87Y8nir1o0#009834#010003.mp4,id10280#XiKRlssBw2M#001538#002000.mp4,2,389
id10291#7lrVxsJOOZ4#005803#005909.mp4,id10285#m-uILToQ9ss#006301#006496.mp4,58,107
id10286#isKyMAYUOgg#010624#010965.mp4,id10285#m-uILToQ9ss#004267#004374.mp4,128,37
id10283#r9-0pljhZqs#004062#004408.mp4,id10284#YN4cTBWM-QE#021127#021712.mp4,369,529
id10289#Fvm877eQSqE#002663#002802.mp4,id10286#DPPq8w5ILrA#003072#003200.mp4,137,92
id10291#4aLg_keiGHw#000871#001068.mp4,id10285#FUqAFZmZJ80#002895#003020.mp4,49,4
id10291#98qWWArcL3Y#007724#008134.mp4,id10281#NHARUN9OhSo#002209#002570.mp4,27,410
id10291#uiBjIKX_0l8#001197#001806.mp4,id10283#p3q7Z0O6rgg#000270#000454.mp4,502,66
id10286#DPPq8w5ILrA#003930#004117.mp4,id10281#ni6gO5jDLJE#003515#003915.mp4,26,348
id10291#oLJhH76d0kU#000555#000782.mp4,id10284#EoCPhxtWUOc#002260#002691.mp4,161,310
id10283#vaK4t1-WD4M#017283#017797.mp4,id10284#YN4cTBWM-QE#021127#021712.mp4,155,416
